prompt_id,task_name,strategy,length,specificity,vocabulary,syntax,entropy_mean,entropy_std,ppl_mean,ppl_std,t1a_mean,t1a_std,sc_mean,ctr_mean,ctr_std,strategy_code,length_code,specificity_code,vocab_code,syntax_code
38,filter_by_substring,Few-Shot,Medium,Concrete,Programming-Heavy,Imperative,4.137833759165391,0.0,17.604029131869808,0.0,0.0,0.0,1.0,0.85,0.0,1,1,2,2,0
39,filter_by_substring,Chain-of-Thought,Long,Concrete,Programming-Heavy,Imperative,4.192417173504955,0.0181612391253335,18.28428348176416,0.2322931613964599,0.0,0.0,0.9895278907101064,0.911557866011257,0.0123908179478743,2,2,2,2,0
40,filter_by_substring,Chain-of-Thought,Long,Concrete,Programming-Heavy,Declarative,4.358233430533398,0.0117841864601317,20.51037094461209,0.1681639330498955,0.0,0.0,0.9862070621048452,0.8741283283741513,0.0035326135195734,2,2,2,2,1
41,sum_product,Zero-Shot,Short,Abstract,Natural Language,Imperative,4.492869691296563,0.0,22.51586021083108,0.0,0.0357142857142857,0.0,1.0,0.9032258064516128,1.1102230246251563e-16,0,0,0,0,0
42,sum_product,Zero-Shot,Medium,Semi-Concrete,Mixed,Declarative,4.544452837253178,0.0095430883214288,23.335982431786576,0.1536302430712813,0.0,0.0,0.8660770979692417,0.9566965166494948,0.0062563742922204,0,1,1,1,1
43,sum_product,Few-Shot,Medium,Concrete,Programming-Heavy,Imperative,4.281265715161724,0.0,19.44416956231823,0.0,0.0,0.0,1.0000000000000002,0.875,0.0,1,1,2,2,0
44,sum_product,Chain-of-Thought,Long,Concrete,Programming-Heavy,Imperative,4.394697239998428,0.10736092749358,21.093534691550754,1.59082326273111,0.0,0.0,0.9485355239197484,0.8889413245241468,0.0105321251590488,2,2,2,2,0
45,sum_product,Chain-of-Thought,Long,Concrete,Programming-Heavy,Declarative,4.415331074335367,0.0040166989836318,21.337757579407043,0.0593739045519946,0.0,0.0,1.0000000000000004,0.9249346211513652,0.0004612170790832,2,2,2,2,1
46,rolling_max,Zero-Shot,Short,Abstract,Natural Language,Imperative,4.438563792172711,0.0064011776863646,21.68428524757798,0.0961312411487555,0.0,0.0,0.9887971561539944,0.9619244293941616,0.0004132611469307,0,0,0,0,0
47,rolling_max,Zero-Shot,Medium,Semi-Concrete,Mixed,Declarative,4.569897227768085,0.0,23.75068515927615,0.0,0.0294117647058823,0.0,0.9999999999999998,0.9592760180995474,1.1102230246251563e-16,0,1,1,1,1
48,rolling_max,Few-Shot,Medium,Concrete,Programming-Heavy,Imperative,4.693471805465334,0.0215622741301661,25.87759674480257,0.382430847670804,0.0,0.0,0.9999999999999996,0.909090909090909,1.1102230246251563e-16,1,1,2,2,0
49,rolling_max,Chain-of-Thought,Long,Concrete,Programming-Heavy,Imperative,4.646589469977137,0.0505932667518219,25.06254575256797,0.8558496987761741,0.0,0.0,0.994064182222142,0.9288646008952968,0.006348468112319,2,2,2,2,0
50,rolling_max,Chain-of-Thought,Long,Concrete,Programming-Heavy,Declarative,4.691030801910205,0.0,25.830985876457778,0.0,0.0,0.0,1.0,0.9317073170731708,1.1102230246251563e-16,2,2,2,2,1
51,make_palindrome,Zero-Shot,Short,Abstract,Natural Language,Imperative,4.611530784982215,0.0,24.44607231921585,0.0,0.054054054054054,0.0,1.0000000000000002,0.8701298701298701,0.0,0,0,0,0,0
52,make_palindrome,Zero-Shot,Medium,Semi-Concrete,Mixed,Declarative,4.554883787697976,0.0,23.50480469177177,0.0,0.0,0.0,0.9999999999999998,0.8245614035087719,0.0,0,1,1,1,1
53,make_palindrome,Few-Shot,Medium,Concrete,Programming-Heavy,Imperative,4.238754949411601,0.0,18.879582408316438,0.0,0.027027027027027,0.0,1.0,0.9,0.0,1,1,2,2,0
54,make_palindrome,Chain-of-Thought,Long,Concrete,Programming-Heavy,Imperative,4.242084745159447,0.0249769673782437,18.926032936126436,0.325797734021707,0.0,0.0,0.9700433499785316,0.8779002607023132,0.0042951215762212,2,2,2,2,0
55,make_palindrome,Chain-of-Thought,Long,Concrete,Programming-Heavy,Declarative,4.460782960422578,0.0735309894085295,22.0490427868981,1.1121715249074984,0.0,0.0,0.9402209517777234,0.890143148523683,0.0189397721214769,2,2,2,2,1
56,string_xor,Zero-Shot,Short,Abstract,Natural Language,Imperative,4.510588441763457,0.0535550527648232,22.81009864627612,0.8701575200415684,0.0083333333333333,0.0166666666666666,0.8120974646089326,0.8636203417537228,0.0201467915979374,0,0,0,0,0
57,string_xor,Zero-Shot,Medium,Semi-Concrete,Mixed,Declarative,4.587116631349964,0.0338354763562522,24.04248878067589,0.5658481504786347,0.0,0.0,0.8559853762687057,0.8982845018798888,0.0095803762612594,0,1,1,1,1
58,string_xor,Few-Shot,Medium,Concrete,Programming-Heavy,Imperative,4.489323269420784,0.0,22.460579868779607,0.0,0.0,0.0,0.9999999999999998,0.8269230769230769,0.0,1,1,2,2,0
59,string_xor,Chain-of-Thought,Long,Concrete,Programming-Heavy,Imperative,4.534720789046088,0.0,23.17858818726364,0.0,0.0,0.0,0.9999999999999998,0.8826291079812206,0.0,2,2,2,2,0
60,string_xor,Chain-of-Thought,Long,Concrete,Programming-Heavy,Declarative,4.429625405889779,0.0693674145029447,21.57564475069376,1.0735395487473205,0.0,0.0,0.9161161881225856,0.9020897633744857,0.0161550142098005,2,2,2,2,1
61,longest,Zero-Shot,Short,Abstract,Natural Language,Imperative,4.167844489192472,0.0,17.97406088630711,0.0,0.0,0.0,1.0,0.7857142857142857,0.0,0,0,0,0,0
62,longest,Zero-Shot,Medium,Semi-Concrete,Mixed,Declarative,4.075346362946008,0.0,16.857823324128926,0.0,0.0,0.0,1.0,0.85,0.0,0,1,1,1,1
63,longest,Few-Shot,Medium,Concrete,Programming-Heavy,Imperative,4.272676904957934,0.0,19.328756287791887,0.0,0.0,0.0,1.0,0.8157894736842104,1.1102230246251563e-16,1,1,2,2,0
64,longest,Chain-of-Thought,Long,Concrete,Programming-Heavy,Imperative,4.139190409157703,0.0123644179990773,17.621240921213786,0.1519915567646677,0.0,0.0,0.9943189189461976,0.8445912682990023,0.0024355486461976,2,2,2,2,0
65,longest,Chain-of-Thought,Long,Concrete,Programming-Heavy,Declarative,4.240043474599803,0.0040608176142029,18.89652696735433,0.0533011931711101,0.0,0.0,0.9978575289841096,0.8970246305418719,0.0002364532019704,2,2,2,2,1
66,greatest_common_divisor,Zero-Shot,Short,Abstract,Natural Language,Imperative,4.529751838417902,0.0,23.098893488173665,0.0,0.0,0.0,1.0,0.8880000000000001,1.1102230246251563e-16,0,0,0,0,0
67,greatest_common_divisor,Zero-Shot,Medium,Semi-Concrete,Mixed,Declarative,4.382734419213248,0.0054312214528106,20.861118920810743,0.078461512056925,0.0,0.0,0.9888293048985104,0.932546183030174,0.0001134631067616,0,1,1,1,1
68,greatest_common_divisor,Few-Shot,Medium,Concrete,Programming-Heavy,Imperative,4.249133731504807,0.0,19.01589228905682,0.0,0.0,0.0,1.0,0.8333333333333334,0.0,1,1,2,2,0
69,greatest_common_divisor,Chain-of-Thought,Long,Concrete,Programming-Heavy,Imperative,4.318789278231699,0.0273107125895428,19.96007636219594,0.372494592223234,0.0,0.0,0.9161175438016956,0.9453382717414336,0.003244244723654,2,2,2,2,0
70,greatest_common_divisor,Chain-of-Thought,Long,Concrete,Programming-Heavy,Declarative,4.472682376451568,0.0010430102088727,22.203000560738808,0.0160542383506153,0.0,0.0,0.9906259008778748,0.9192825112107624,0.0,2,2,2,2,1
71,all_prefixes,Zero-Shot,Short,Abstract,Natural Language,Imperative,4.638794026954312,0.0182722082778983,24.91441866294453,0.3125542607662537,0.0,0.0,0.8364800313433987,0.8286115007012622,0.0050490883590462,0,0,0,0,0
72,all_prefixes,Zero-Shot,Medium,Semi-Concrete,Mixed,Declarative,4.386806422276186,0.0043652674660584,20.92003001587711,0.063155636453456,0.0,0.0,0.9830586588255804,0.9045820797454784,0.0024414704153266,0,1,1,1,1
73,all_prefixes,Few-Shot,Medium,Concrete,Programming-Heavy,Imperative,4.27425733718329,0.0,19.34994200388893,0.0,0.0,0.0,1.0000000000000002,0.8604651162790697,0.0,1,1,2,2,0
74,all_prefixes,Chain-of-Thought,Long,Concrete,Programming-Heavy,Imperative,4.365618977055932,0.0104452042365173,20.615489695784568,0.1494756473184572,0.0,0.0,0.931770861725562,0.8901669758812616,0.0154513267633818,2,2,2,2,0
75,all_prefixes,Chain-of-Thought,Long,Concrete,Programming-Heavy,Declarative,4.401672604061886,0.0176197219230003,21.138203377175824,0.2605263940340838,0.0,0.0,0.9755529812301972,0.9254402422566737,0.0033705276324018,2,2,2,2,1
76,string_sequence,Zero-Shot,Short,Abstract,Natural Language,Imperative,4.52058043560624,0.0026097759744772,22.952554055163752,0.0414639004495597,0.0,0.0,1.0,0.8465098039215686,0.0067450980392156,0,0,0,0,0
77,string_sequence,Zero-Shot,Medium,Semi-Concrete,Mixed,Declarative,4.406379347362134,0.0,21.205687438545283,0.0,0.0,0.0,1.0000000000000002,0.9117647058823528,0.0,0,1,1,1,1
78,string_sequence,Few-Shot,Medium,Concrete,Programming-Heavy,Imperative,4.524728424769487,0.0033048578383706,23.018664278267263,0.0528206767587874,0.0,0.0,0.9945760201662488,0.8493058706106524,0.0023228382179475,1,1,2,2,0
79,string_sequence,Chain-of-Thought,Long,Concrete,Programming-Heavy,Imperative,4.42859741478611,0.0051577634164356,21.534928657158368,0.0770451729407143,0.0,0.0,0.9864660904754766,0.9041507512095748,0.0004990047858993,2,2,2,2,0
80,string_sequence,Chain-of-Thought,Long,Concrete,Programming-Heavy,Declarative,4.461040213991163,0.0014809807090394,22.024555132300573,0.0225916282649976,0.0,0.0,1.0000000000000004,0.8928712871287129,0.0035643564356435,2,2,2,2,1
81,count_distinct_characters,Zero-Shot,Short,Abstract,Natural Language,Imperative,4.477588446456228,0.0,22.27862742294425,0.0,0.0833333333333333,0.0,1.0000000000000002,0.8333333333333334,0.0,0,0,0,0,0
82,count_distinct_characters,Zero-Shot,Medium,Semi-Concrete,Mixed,Declarative,4.40247653604913,0.0022720058497016,21.14842507623111,0.0332949219283329,0.0833333333333333,0.0,0.9936874735376487,0.9041967621419676,0.0001743462017434,0,1,1,1,1
83,count_distinct_characters,Few-Shot,Medium,Concrete,Programming-Heavy,Imperative,4.239194115044094,0.0,18.885330349218385,0.0,0.0833333333333333,0.0,0.9999999999999998,0.8333333333333334,0.0,1,1,2,2,0
84,count_distinct_characters,Chain-of-Thought,Long,Concrete,Programming-Heavy,Imperative,4.451721158250815,0.0,21.8827349942815,0.0,0.0833333333333333,0.0,1.0,0.8700564971751412,0.0,2,2,2,2,0
85,count_distinct_characters,Chain-of-Thought,Long,Concrete,Programming-Heavy,Declarative,4.43614286634621,0.0,21.6477153077372,0.0,0.0833333333333333,0.0,1.0000000000000002,0.8662790697674418,0.0,2,2,2,2,1
86,parse_music,Zero-Shot,Short,Abstract,Natural Language,Imperative,4.302565253363001,0.00145046325845,19.733377279021987,0.0198545926786394,0.0588235294117647,0.0,0.9982761971105863,0.9227998014325224,0.0037727820721934,0,0,0,0,0
87,parse_music,Zero-Shot,Medium,Semi-Concrete,Mixed,Declarative,4.200421975846124,0.0,18.38455021586186,0.0,0.0294117647058823,0.0,0.9999999999999996,0.9148936170212766,0.0,0,1,1,1,1
88,parse_music,Few-Shot,Medium,Concrete,Programming-Heavy,Imperative,4.21222558737743,0.0627333207887715,18.552779902602147,0.7836975931801808,0.0294117647058823,0.0,0.9733241534850005,0.924249110434336,0.006454696455462,1,1,2,2,0
89,parse_music,Chain-of-Thought,Long,Concrete,Programming-Heavy,Imperative,4.276345902356194,0.0099836671377829,19.37844047603706,0.1347979836414524,0.0294117647058823,0.0,0.99035704937748,0.9045643153526972,0.0,2,2,2,2,0
90,parse_music,Chain-of-Thought,Long,Concrete,Programming-Heavy,Declarative,4.316611202557372,0.0124863851877291,19.92717293826806,0.1720279295516785,0.0294117647058823,0.0,0.9671910584032948,0.894566578124379,0.0050306735874731,2,2,2,2,1
91,how_many_times,Zero-Shot,Short,Abstract,Natural Language,Imperative,4.337599537381773,0.0,20.218436572036627,0.0,0.0,0.0,1.0000000000000002,0.8670886075949367,0.0,0,0,0,0,0
92,how_many_times,Zero-Shot,Medium,Semi-Concrete,Mixed,Declarative,4.302454676394262,0.0,19.73185487282098,0.0,0.0,0.0,0.9999999999999996,0.9473684210526316,0.0,0,1,1,1,1
93,how_many_times,Few-Shot,Medium,Concrete,Programming-Heavy,Imperative,4.353644565213735,0.0104516751822759,20.44508826917483,0.1478940485672515,0.0,0.0,0.8992663841321045,0.8736418072945018,0.0007467143472828,1,1,2,2,0
94,how_many_times,Chain-of-Thought,Long,Concrete,Programming-Heavy,Imperative,4.321925217788063,0.0011897348860728,19.999966918430182,0.0165034017998863,0.0,0.0,1.0000000000000002,0.947871259175607,9.034443817053096e-05,2,2,2,2,0
95,how_many_times,Chain-of-Thought,Long,Concrete,Programming-Heavy,Declarative,4.408961871431801,0.0,21.243681083622786,0.0,0.0,0.0,1.0000000000000002,0.9304347826086956,1.1102230246251563e-16,2,2,2,2,1
96,sort_numbers,Zero-Shot,Short,Abstract,Natural Language,Imperative,4.578850766381216,0.0,23.89854310003441,0.0,0.0,0.0,0.9999999999999998,0.8461538461538461,0.0,0,0,0,0,0
97,sort_numbers,Zero-Shot,Medium,Semi-Concrete,Mixed,Declarative,4.473092178310727,0.0093026191575001,22.20976420934214,0.1432191423340839,0.0,0.0,0.9167118909029488,0.8541352231373299,0.0009806550469258,0,1,1,1,1
98,sort_numbers,Few-Shot,Medium,Concrete,Programming-Heavy,Imperative,4.529508376398723,0.0,23.094995763011585,0.0,0.0135135135135135,0.0,1.0000000000000002,0.849785407725322,1.1102230246251563e-16,1,1,2,2,0
99,sort_numbers,Chain-of-Thought,Long,Concrete,Programming-Heavy,Imperative,4.444234199689422,0.0,21.769467294973648,0.0,0.0135135135135135,0.0,1.0000000000000004,0.8646288209606986,1.1102230246251563e-16,2,2,2,2,0
100,sort_numbers,Chain-of-Thought,Long,Concrete,Programming-Heavy,Declarative,4.450631540492519,0.0067406196785285,21.866452071502597,0.1018074361652154,0.0135135135135135,0.0,0.9594398876008036,0.8639886989278469,0.0031150391190959,2,2,2,2,1
101,find_closest_elements,Zero-Shot,Short,Abstract,Natural Language,Imperative,4.459450479444966,0.0044685462405599,22.0003929830878,0.0679848722943049,0.0,0.0,0.9951051398945364,0.9083359881066156,0.0006796219602846,0,0,0,0,0
102,find_closest_elements,Zero-Shot,Medium,Semi-Concrete,Mixed,Declarative,4.263605181015196,0.015765222937519,19.20874615796877,0.2103663945161509,0.0,0.0,0.9527247447527156,0.9427312775330396,0.0,0,1,1,1,1
103,find_closest_elements,Few-Shot,Medium,Concrete,Programming-Heavy,Imperative,4.505823966103144,0.0049071821672161,22.719076661454046,0.0770795573866521,0.0172413793103448,0.0,0.9873779658938596,0.9207021579855468,0.0009602160486109,1,1,2,2,0
104,find_closest_elements,Chain-of-Thought,Long,Concrete,Programming-Heavy,Imperative,4.315090084942843,0.0090784009327138,19.905823718299796,0.1253838403378177,0.0275862068965517,0.0084465163544247,0.9831637004975676,0.9436191582529112,0.0005884776037751,2,2,2,2,0
105,find_closest_elements,Chain-of-Thought,Long,Concrete,Programming-Heavy,Declarative,4.357498631817653,0.0194822726345656,20.50110411442966,0.2753648345989771,0.0275862068965517,0.0084465163544247,0.925323770742454,0.930528392841532,0.0016800647209567,2,2,2,2,1
106,rescale_to_unit,Zero-Shot,Short,Abstract,Natural Language,Imperative,4.496441564595827,0.0102998158148231,22.57225017751862,0.1612050139028258,0.0,0.0,0.9510439732836796,0.9105993793891884,0.000280033124277,0,0,0,0,0
107,rescale_to_unit,Zero-Shot,Medium,Semi-Concrete,Mixed,Declarative,4.465667220169998,0.0223370006577005,22.097949692311584,0.3435424614318548,0.0,0.0,0.9403785268471528,0.9397526502458502,0.0006187773471559,0,1,1,1,1
108,rescale_to_unit,Few-Shot,Medium,Concrete,Programming-Heavy,Imperative,4.6745772992243415,0.0187742538295719,25.540227569755103,0.3324355903434269,0.0,0.0,0.9439644406111958,0.9314803863591562,0.0013519754149009,1,1,2,2,0
109,rescale_to_unit,Chain-of-Thought,Long,Concrete,Programming-Heavy,Imperative,4.394351055250803,0.0413202261314972,21.03828220535953,0.6059183199418371,0.0,0.0,0.977604157723652,0.9564633375474084,0.0045482782044409,2,2,2,2,0
110,rescale_to_unit,Chain-of-Thought,Long,Concrete,Programming-Heavy,Declarative,4.452756009533071,0.0019270609559381,21.89845673599389,0.0292425872297779,0.0,0.0,0.9936082149592786,0.937655601659751,0.0001270482231734,2,2,2,2,1
111,filter_integers,Zero-Shot,Short,Abstract,Natural Language,Imperative,4.58929087208445,0.0,24.072112884153476,0.0,0.0,0.0,1.0,0.8666666666666668,1.1102230246251563e-16,0,0,0,0,0
112,filter_integers,Zero-Shot,Medium,Semi-Concrete,Mixed,Declarative,4.483423165128642,0.0026158324119681,22.36894848142281,0.0405108390480193,0.0,0.0,0.9974172226678596,0.9321266968325792,0.0,0,1,1,1,1
113,filter_integers,Few-Shot,Medium,Concrete,Programming-Heavy,Imperative,4.543099953390911,0.1146870009589377,23.384460064009296,1.7489306176391652,0.0,0.0,0.9820348279873594,0.8707342254283738,0.009206421011272,1,1,2,2,0
114,filter_integers,Chain-of-Thought,Long,Concrete,Programming-Heavy,Imperative,4.412107808581298,0.0100383020583297,21.29057040328452,0.1479171408451049,0.0,0.0,0.9825499534056308,0.907125230820883,0.0022009514593956,2,2,2,2,0
115,filter_integers,Chain-of-Thought,Long,Concrete,Programming-Heavy,Declarative,4.504944389641451,0.0,22.705098487905552,0.0,0.0,0.0,0.9999999999999998,0.8952879581151831,1.1102230246251563e-16,2,2,2,2,1
116,strlen,Zero-Shot,Short,Abstract,Natural Language,Imperative,4.432976840490986,0.0001335252356423,21.60026110381849,0.0019991234293774,0.0,0.0,0.9804914161943772,0.8191489361702129,1.1102230246251563e-16,0,0,0,0,0
117,strlen,Zero-Shot,Medium,Semi-Concrete,Mixed,Declarative,4.406806669176264,0.0,21.21196942795992,0.0,0.0,0.0,0.9999999999999998,0.9020408163265308,0.0,0,1,1,1,1
118,strlen,Few-Shot,Medium,Concrete,Programming-Heavy,Imperative,4.051626949375752,0.0260436615607149,16.585606918890026,0.2953559062823913,0.0,0.0,0.6989306493527221,0.7499250374812594,0.0215892053973013,1,1,2,2,0
119,strlen,Chain-of-Thought,Long,Concrete,Programming-Heavy,Imperative,4.339516464697333,0.0047010283726077,20.24542657860915,0.0661310654409575,0.0,0.0,0.9986508497098334,0.8851351351351351,0.0,2,2,2,2,0
120,strlen,Chain-of-Thought,Long,Concrete,Programming-Heavy,Declarative,4.415819854746245,0.0,21.344905270418487,0.0,0.0,0.0,1.0000000000000002,0.8535031847133758,0.0,2,2,2,2,1
121,largest_divisor,Zero-Shot,Short,Abstract,Natural Language,Imperative,4.389673698424701,0.0,20.96155294595538,0.0,0.0,0.0,1.0,0.9047619047619048,0.0,0,0,0,0,0
