prompt_id,task_name,strategy,length,specificity,vocabulary,syntax,sc_mean
27,intersperse,Zero-Shot,Medium,Semi-Concrete,Mixed,Declarative,0.877883122158811
28,intersperse,Few-Shot,Medium,Concrete,Programming-Heavy,Imperative,0.9831015752301354
29,intersperse,Chain-of-Thought,Long,Concrete,Programming-Heavy,Imperative,0.941381175510093
30,intersperse,Chain-of-Thought,Long,Concrete,Programming-Heavy,Declarative,0.9959077505222996
31,parse_nested_parens,Zero-Shot,Short,Abstract,Natural Language,Imperative,0.9999999999999998
32,parse_nested_parens,Zero-Shot,Medium,Semi-Concrete,Mixed,Declarative,0.9239880474518986
33,parse_nested_parens,Few-Shot,Medium,Concrete,Programming-Heavy,Imperative,1.0000000000000004
34,parse_nested_parens,Chain-of-Thought,Long,Concrete,Programming-Heavy,Imperative,1.0
35,parse_nested_parens,Chain-of-Thought,Long,Concrete,Programming-Heavy,Declarative,0.8097736679326276
36,filter_by_substring,Zero-Shot,Short,Abstract,Natural Language,Imperative,0.9999999999999997
37,filter_by_substring,Zero-Shot,Medium,Semi-Concrete,Mixed,Declarative,0.9115865624365715
38,filter_by_substring,Few-Shot,Medium,Concrete,Programming-Heavy,Imperative,1.0
39,filter_by_substring,Chain-of-Thought,Long,Concrete,Programming-Heavy,Imperative,0.9895278907101064
40,filter_by_substring,Chain-of-Thought,Long,Concrete,Programming-Heavy,Declarative,0.9862070621048453
41,sum_product,Zero-Shot,Short,Abstract,Natural Language,Imperative,1.0
42,sum_product,Zero-Shot,Medium,Semi-Concrete,Mixed,Declarative,0.8660770979692417
43,sum_product,Few-Shot,Medium,Concrete,Programming-Heavy,Imperative,1.0000000000000002
44,sum_product,Chain-of-Thought,Long,Concrete,Programming-Heavy,Imperative,0.9485355239197484
45,sum_product,Chain-of-Thought,Long,Concrete,Programming-Heavy,Declarative,1.0000000000000004
46,rolling_max,Zero-Shot,Short,Abstract,Natural Language,Imperative,0.9887971561539943
47,rolling_max,Zero-Shot,Medium,Semi-Concrete,Mixed,Declarative,0.9999999999999998
48,rolling_max,Few-Shot,Medium,Concrete,Programming-Heavy,Imperative,0.9999999999999997
49,rolling_max,Chain-of-Thought,Long,Concrete,Programming-Heavy,Imperative,0.9940641822221421
50,rolling_max,Chain-of-Thought,Long,Concrete,Programming-Heavy,Declarative,1.0
51,make_palindrome,Zero-Shot,Short,Abstract,Natural Language,Imperative,1.0000000000000002
52,make_palindrome,Zero-Shot,Medium,Semi-Concrete,Mixed,Declarative,0.9999999999999998
53,make_palindrome,Few-Shot,Medium,Concrete,Programming-Heavy,Imperative,1.0
54,make_palindrome,Chain-of-Thought,Long,Concrete,Programming-Heavy,Imperative,0.9700433499785316
55,make_palindrome,Chain-of-Thought,Long,Concrete,Programming-Heavy,Declarative,0.9402209517777234
56,string_xor,Zero-Shot,Short,Abstract,Natural Language,Imperative,0.8120974646089326
57,string_xor,Zero-Shot,Medium,Semi-Concrete,Mixed,Declarative,0.8559853762687057
58,string_xor,Few-Shot,Medium,Concrete,Programming-Heavy,Imperative,0.9999999999999998
59,string_xor,Chain-of-Thought,Long,Concrete,Programming-Heavy,Imperative,0.9999999999999998
60,string_xor,Chain-of-Thought,Long,Concrete,Programming-Heavy,Declarative,0.9161161881225857
61,longest,Zero-Shot,Short,Abstract,Natural Language,Imperative,1.0
62,longest,Zero-Shot,Medium,Semi-Concrete,Mixed,Declarative,1.0
63,longest,Few-Shot,Medium,Concrete,Programming-Heavy,Imperative,1.0
64,longest,Chain-of-Thought,Long,Concrete,Programming-Heavy,Imperative,0.9943189189461975
65,longest,Chain-of-Thought,Long,Concrete,Programming-Heavy,Declarative,0.9978575289841096
66,greatest_common_divisor,Zero-Shot,Short,Abstract,Natural Language,Imperative,1.0
67,greatest_common_divisor,Zero-Shot,Medium,Semi-Concrete,Mixed,Declarative,0.9888293048985105
68,greatest_common_divisor,Few-Shot,Medium,Concrete,Programming-Heavy,Imperative,1.0
69,greatest_common_divisor,Chain-of-Thought,Long,Concrete,Programming-Heavy,Imperative,0.9161175438016957
70,greatest_common_divisor,Chain-of-Thought,Long,Concrete,Programming-Heavy,Declarative,0.9906259008778748
71,all_prefixes,Zero-Shot,Short,Abstract,Natural Language,Imperative,0.8364800313433987
72,all_prefixes,Zero-Shot,Medium,Semi-Concrete,Mixed,Declarative,0.9830586588255805
73,all_prefixes,Few-Shot,Medium,Concrete,Programming-Heavy,Imperative,1.0000000000000002
74,all_prefixes,Chain-of-Thought,Long,Concrete,Programming-Heavy,Imperative,0.931770861725562
75,all_prefixes,Chain-of-Thought,Long,Concrete,Programming-Heavy,Declarative,0.9755529812301971
76,string_sequence,Zero-Shot,Short,Abstract,Natural Language,Imperative,1.0
77,string_sequence,Zero-Shot,Medium,Semi-Concrete,Mixed,Declarative,1.0000000000000002
78,string_sequence,Few-Shot,Medium,Concrete,Programming-Heavy,Imperative,0.9945760201662488
79,string_sequence,Chain-of-Thought,Long,Concrete,Programming-Heavy,Imperative,0.9864660904754766
80,string_sequence,Chain-of-Thought,Long,Concrete,Programming-Heavy,Declarative,1.0000000000000004
81,count_distinct_characters,Zero-Shot,Short,Abstract,Natural Language,Imperative,1.0000000000000002
82,count_distinct_characters,Zero-Shot,Medium,Semi-Concrete,Mixed,Declarative,0.9936874735376489
83,count_distinct_characters,Few-Shot,Medium,Concrete,Programming-Heavy,Imperative,0.9999999999999998
84,count_distinct_characters,Chain-of-Thought,Long,Concrete,Programming-Heavy,Imperative,1.0
85,count_distinct_characters,Chain-of-Thought,Long,Concrete,Programming-Heavy,Declarative,1.0000000000000002
86,parse_music,Zero-Shot,Short,Abstract,Natural Language,Imperative,0.9982761971105865
87,parse_music,Zero-Shot,Medium,Semi-Concrete,Mixed,Declarative,0.9999999999999997
88,parse_music,Few-Shot,Medium,Concrete,Programming-Heavy,Imperative,0.9733241534850003
89,parse_music,Chain-of-Thought,Long,Concrete,Programming-Heavy,Imperative,0.9903570493774799
90,parse_music,Chain-of-Thought,Long,Concrete,Programming-Heavy,Declarative,0.9671910584032949
91,how_many_times,Zero-Shot,Short,Abstract,Natural Language,Imperative,1.0000000000000002
92,how_many_times,Zero-Shot,Medium,Semi-Concrete,Mixed,Declarative,0.9999999999999997
93,how_many_times,Few-Shot,Medium,Concrete,Programming-Heavy,Imperative,0.8992663841321045
94,how_many_times,Chain-of-Thought,Long,Concrete,Programming-Heavy,Imperative,1.0000000000000002
95,how_many_times,Chain-of-Thought,Long,Concrete,Programming-Heavy,Declarative,1.0000000000000002
96,sort_numbers,Zero-Shot,Short,Abstract,Natural Language,Imperative,0.9999999999999998
97,sort_numbers,Zero-Shot,Medium,Semi-Concrete,Mixed,Declarative,0.9167118909029488
98,sort_numbers,Few-Shot,Medium,Concrete,Programming-Heavy,Imperative,1.0000000000000002
99,sort_numbers,Chain-of-Thought,Long,Concrete,Programming-Heavy,Imperative,1.0000000000000004
100,sort_numbers,Chain-of-Thought,Long,Concrete,Programming-Heavy,Declarative,0.9594398876008036
101,find_closest_elements,Zero-Shot,Short,Abstract,Natural Language,Imperative,0.9951051398945365
102,find_closest_elements,Zero-Shot,Medium,Semi-Concrete,Mixed,Declarative,0.9527247447527157
103,find_closest_elements,Few-Shot,Medium,Concrete,Programming-Heavy,Imperative,0.9873779658938595
104,find_closest_elements,Chain-of-Thought,Long,Concrete,Programming-Heavy,Imperative,0.9831637004975675
105,find_closest_elements,Chain-of-Thought,Long,Concrete,Programming-Heavy,Declarative,0.9253237707424541
106,rescale_to_unit,Zero-Shot,Short,Abstract,Natural Language,Imperative,0.9510439732836795
107,rescale_to_unit,Zero-Shot,Medium,Semi-Concrete,Mixed,Declarative,0.9403785268471528
108,rescale_to_unit,Few-Shot,Medium,Concrete,Programming-Heavy,Imperative,0.9439644406111958
109,rescale_to_unit,Chain-of-Thought,Long,Concrete,Programming-Heavy,Imperative,0.977604157723652
110,rescale_to_unit,Chain-of-Thought,Long,Concrete,Programming-Heavy,Declarative,0.9936082149592786
111,filter_integers,Zero-Shot,Short,Abstract,Natural Language,Imperative,1.0
112,filter_integers,Zero-Shot,Medium,Semi-Concrete,Mixed,Declarative,0.9974172226678597
113,filter_integers,Few-Shot,Medium,Concrete,Programming-Heavy,Imperative,0.9820348279873594
114,filter_integers,Chain-of-Thought,Long,Concrete,Programming-Heavy,Imperative,0.9825499534056308
115,filter_integers,Chain-of-Thought,Long,Concrete,Programming-Heavy,Declarative,0.9999999999999998
116,strlen,Zero-Shot,Short,Abstract,Natural Language,Imperative,0.9804914161943771
117,strlen,Zero-Shot,Medium,Semi-Concrete,Mixed,Declarative,0.9999999999999998
118,strlen,Few-Shot,Medium,Concrete,Programming-Heavy,Imperative,0.6989306493527221
119,strlen,Chain-of-Thought,Long,Concrete,Programming-Heavy,Imperative,0.9986508497098334
120,strlen,Chain-of-Thought,Long,Concrete,Programming-Heavy,Declarative,1.0000000000000002
121,largest_divisor,Zero-Shot,Short,Abstract,Natural Language,Imperative,1.0
122,largest_divisor,Zero-Shot,Medium,Semi-Concrete,Mixed,Declarative,0.9965451707031461
123,largest_divisor,Few-Shot,Medium,Concrete,Programming-Heavy,Imperative,0.9999999999999998
124,largest_divisor,Chain-of-Thought,Long,Concrete,Programming-Heavy,Imperative,0.9142777641719105
125,largest_divisor,Chain-of-Thought,Long,Concrete,Programming-Heavy,Declarative,1.0000000000000002
126,factorize,Zero-Shot,Short,Abstract,Natural Language,Imperative,0.9999999999999998
127,factorize,Zero-Shot,Medium,Semi-Concrete,Mixed,Declarative,0.9796356031686791
128,factorize,Few-Shot,Medium,Concrete,Programming-Heavy,Imperative,0.9874189458813152
129,factorize,Chain-of-Thought,Long,Concrete,Programming-Heavy,Imperative,0.9854171183287898
130,factorize,Chain-of-Thought,Long,Concrete,Programming-Heavy,Declarative,0.9616915495995425
131,remove_duplicates,Zero-Shot,Short,Abstract,Natural Language,Imperative,1.0
132,remove_duplicates,Zero-Shot,Medium,Semi-Concrete,Mixed,Declarative,0.9963893037861965
133,remove_duplicates,Few-Shot,Medium,Concrete,Programming-Heavy,Imperative,0.9999999999999998
134,remove_duplicates,Chain-of-Thought,Long,Concrete,Programming-Heavy,Imperative,0.9979778981902528
135,remove_duplicates,Chain-of-Thought,Long,Concrete,Programming-Heavy,Declarative,0.9418650222731418
136,change_base,Zero-Shot,Short,Abstract,Natural Language,Imperative,0.9977359301022727
137,change_base,Zero-Shot,Medium,Semi-Concrete,Mixed,Declarative,0.9999999999999998
138,change_base,Few-Shot,Medium,Concrete,Programming-Heavy,Imperative,0.9762638220225087
139,change_base,Chain-of-Thought,Long,Concrete,Programming-Heavy,Imperative,0.9941436146297862
140,change_base,Chain-of-Thought,Long,Concrete,Programming-Heavy,Declarative,0.9999999999999994
141,triangle_area,Zero-Shot,Short,Abstract,Natural Language,Imperative,0.99227911126975
142,triangle_area,Zero-Shot,Medium,Semi-Concrete,Mixed,Declarative,0.9992191025494656
143,triangle_area,Few-Shot,Medium,Concrete,Programming-Heavy,Imperative,0.9769957774500275
144,triangle_area,Chain-of-Thought,Long,Concrete,Programming-Heavy,Imperative,1.0
145,triangle_area,Chain-of-Thought,Long,Concrete,Programming-Heavy,Declarative,1.0000000000000004
146,fib4,Zero-Shot,Short,Abstract,Natural Language,Imperative,0.9034128147815632
147,fib4,Zero-Shot,Medium,Semi-Concrete,Mixed,Declarative,0.9963384185164307
148,fib4,Few-Shot,Medium,Concrete,Programming-Heavy,Imperative,1.0
149,fib4,Chain-of-Thought,Long,Concrete,Programming-Heavy,Imperative,0.9999999999999998
150,fib4,Chain-of-Thought,Long,Concrete,Programming-Heavy,Declarative,1.0000000000000002
151,median,Zero-Shot,Short,Abstract,Natural Language,Imperative,0.9999999999999997
152,median,Zero-Shot,Medium,Semi-Concrete,Mixed,Declarative,0.9791361149536293
153,median,Few-Shot,Medium,Concrete,Programming-Heavy,Imperative,0.9999999999999998
154,median,Chain-of-Thought,Long,Concrete,Programming-Heavy,Imperative,1.0000000000000002
155,median,Chain-of-Thought,Long,Concrete,Programming-Heavy,Declarative,1.0000000000000002
156,is_palindrome,Zero-Shot,Short,Abstract,Natural Language,Imperative,0.9905766669818868
157,is_palindrome,Zero-Shot,Medium,Semi-Concrete,Mixed,Declarative,0.9657249277526784
158,is_palindrome,Few-Shot,Medium,Concrete,Programming-Heavy,Imperative,1.0
159,is_palindrome,Chain-of-Thought,Long,Concrete,Programming-Heavy,Imperative,0.8048874138988366
160,is_palindrome,Chain-of-Thought,Long,Concrete,Programming-Heavy,Declarative,1.0000000000000002
161,modp,Zero-Shot,Short,Abstract,Natural Language,Imperative,1.0000000000000004
162,modp,Zero-Shot,Medium,Semi-Concrete,Mixed,Declarative,0.9686782244388585
163,modp,Few-Shot,Medium,Concrete,Programming-Heavy,Imperative,1.0000000000000002
164,modp,Chain-of-Thought,Long,Concrete,Programming-Heavy,Imperative,0.9459124281325634
165,modp,Chain-of-Thought,Long,Concrete,Programming-Heavy,Declarative,0.9956789323659659
166,encode_shift,Zero-Shot,Short,Abstract,Natural Language,Imperative,1.0
167,encode_shift,Zero-Shot,Medium,Semi-Concrete,Mixed,Declarative,0.7469783372816041
168,encode_shift,Few-Shot,Medium,Concrete,Programming-Heavy,Imperative,0.9999999999999998
169,encode_shift,Chain-of-Thought,Long,Concrete,Programming-Heavy,Imperative,0.9884866319165152
170,encode_shift,Chain-of-Thought,Long,Concrete,Programming-Heavy,Declarative,0.9938995468543113
171,decode_shift,Zero-Shot,Short,Abstract,Natural Language,Imperative,1.0000000000000004
172,decode_shift,Zero-Shot,Medium,Semi-Concrete,Mixed,Declarative,0.9994990605423467
173,decode_shift,Few-Shot,Medium,Concrete,Programming-Heavy,Imperative,0.9810687889176058
174,decode_shift,Chain-of-Thought,Long,Concrete,Programming-Heavy,Imperative,0.882150041496185
175,decode_shift,Chain-of-Thought,Long,Concrete,Programming-Heavy,Declarative,0.9005026301282848
176,remove_vowels,Zero-Shot,Short,Abstract,Natural Language,Imperative,1.0
177,remove_vowels,Zero-Shot,Medium,Semi-Concrete,Mixed,Declarative,0.9753548078839434
178,remove_vowels,Few-Shot,Medium,Concrete,Programming-Heavy,Imperative,1.0
179,remove_vowels,Chain-of-Thought,Long,Concrete,Programming-Heavy,Imperative,0.9833231700085804
180,remove_vowels,Chain-of-Thought,Long,Concrete,Programming-Heavy,Declarative,1.0000000000000002
181,below_threshold,Zero-Shot,Short,Abstract,Natural Language,Imperative,1.0000000000000002
182,below_threshold,Zero-Shot,Medium,Semi-Concrete,Mixed,Declarative,0.9885884237821326
183,below_threshold,Few-Shot,Medium,Concrete,Programming-Heavy,Imperative,0.9893620193832398
184,below_threshold,Chain-of-Thought,Long,Concrete,Programming-Heavy,Imperative,0.9627139246311801
185,below_threshold,Chain-of-Thought,Long,Concrete,Programming-Heavy,Declarative,0.9961609005025869
186,add,Zero-Shot,Short,Abstract,Natural Language,Imperative,1.0000000000000004
187,add,Zero-Shot,Medium,Semi-Concrete,Mixed,Declarative,0.9913766629801197
188,add,Few-Shot,Medium,Concrete,Programming-Heavy,Imperative,1.0000000000000002
189,add,Chain-of-Thought,Long,Concrete,Programming-Heavy,Imperative,1.0000000000000004
190,add,Chain-of-Thought,Long,Concrete,Programming-Heavy,Declarative,0.9788194965800979
191,same_chars,Zero-Shot,Short,Abstract,Natural Language,Imperative,0.9999999999999998
192,same_chars,Zero-Shot,Medium,Semi-Concrete,Mixed,Declarative,1.0000000000000002
193,same_chars,Few-Shot,Medium,Concrete,Programming-Heavy,Imperative,1.0000000000000002
194,same_chars,Chain-of-Thought,Long,Concrete,Programming-Heavy,Imperative,0.972094836678276
195,same_chars,Chain-of-Thought,Long,Concrete,Programming-Heavy,Declarative,0.8792656381868357
196,fib,Zero-Shot,Short,Abstract,Natural Language,Imperative,0.9874965878724924
197,fib,Zero-Shot,Medium,Semi-Concrete,Mixed,Declarative,1.0
198,fib,Few-Shot,Medium,Concrete,Programming-Heavy,Imperative,1.0
199,fib,Chain-of-Thought,Long,Concrete,Programming-Heavy,Imperative,0.9086326687033424
200,fib,Chain-of-Thought,Long,Concrete,Programming-Heavy,Declarative,1.0000000000000002
201,correct_bracketing_1,Zero-Shot,Short,Abstract,Natural Language,Imperative,1.0000000000000002
202,correct_bracketing_1,Zero-Shot,Medium,Semi-Concrete,Mixed,Declarative,1.0000000000000002
203,correct_bracketing_1,Few-Shot,Medium,Concrete,Programming-Heavy,Imperative,0.9999999999999998
204,correct_bracketing_1,Chain-of-Thought,Long,Concrete,Programming-Heavy,Imperative,0.874780722758841
205,correct_bracketing_1,Chain-of-Thought,Long,Concrete,Programming-Heavy,Declarative,0.9858603462534564
206,monotonic,Zero-Shot,Short,Abstract,Natural Language,Imperative,0.987690857168336
207,monotonic,Zero-Shot,Medium,Semi-Concrete,Mixed,Declarative,0.9822683504988323
208,monotonic,Few-Shot,Medium,Concrete,Programming-Heavy,Imperative,1.0000000000000004
209,monotonic,Chain-of-Thought,Long,Concrete,Programming-Heavy,Imperative,0.9122042107786097
210,monotonic,Chain-of-Thought,Long,Concrete,Programming-Heavy,Declarative,0.9100425112523485
211,common,Zero-Shot,Short,Abstract,Natural Language,Imperative,0.8628018207804591
212,common,Zero-Shot,Medium,Semi-Concrete,Mixed,Declarative,1.0
213,common,Few-Shot,Medium,Concrete,Programming-Heavy,Imperative,1.0
214,common,Chain-of-Thought,Long,Concrete,Programming-Heavy,Imperative,0.9859281108236957
215,common,Chain-of-Thought,Long,Concrete,Programming-Heavy,Declarative,0.9850966752216175
216,largest_prime_factor,Zero-Shot,Short,Abstract,Natural Language,Imperative,0.9688172394751019
217,largest_prime_factor,Zero-Shot,Medium,Semi-Concrete,Mixed,Declarative,1.0000000000000004
218,largest_prime_factor,Few-Shot,Medium,Concrete,Programming-Heavy,Imperative,0.9252937979786925
219,largest_prime_factor,Chain-of-Thought,Long,Concrete,Programming-Heavy,Imperative,0.9833086888515876
220,largest_prime_factor,Chain-of-Thought,Long,Concrete,Programming-Heavy,Declarative,0.9180192401681702
221,sum_to_n,Zero-Shot,Short,Abstract,Natural Language,Imperative,1.0000000000000004
222,sum_to_n,Zero-Shot,Medium,Semi-Concrete,Mixed,Declarative,0.9719360670825873
223,sum_to_n,Few-Shot,Medium,Concrete,Programming-Heavy,Imperative,1.0000000000000002
224,sum_to_n,Chain-of-Thought,Long,Concrete,Programming-Heavy,Imperative,0.8059545210310024
225,sum_to_n,Chain-of-Thought,Long,Concrete,Programming-Heavy,Declarative,0.993254343977308
226,correct_bracketing_2,Zero-Shot,Short,Abstract,Natural Language,Imperative,1.0000000000000004
227,correct_bracketing_2,Zero-Shot,Medium,Semi-Concrete,Mixed,Declarative,0.9999999999999997
228,correct_bracketing_2,Few-Shot,Medium,Concrete,Programming-Heavy,Imperative,0.98310407898538
229,correct_bracketing_2,Chain-of-Thought,Long,Concrete,Programming-Heavy,Imperative,0.990770416208757
230,correct_bracketing_2,Chain-of-Thought,Long,Concrete,Programming-Heavy,Declarative,0.9973455447593264
231,derivative,Zero-Shot,Short,Abstract,Natural Language,Imperative,0.9544972504935656
232,derivative,Zero-Shot,Medium,Semi-Concrete,Mixed,Declarative,0.9837227119248322
233,derivative,Few-Shot,Medium,Concrete,Programming-Heavy,Imperative,0.9948482171176135
234,derivative,Chain-of-Thought,Long,Concrete,Programming-Heavy,Imperative,0.9786600717013652
235,derivative,Chain-of-Thought,Long,Concrete,Programming-Heavy,Declarative,0.8862791259195021
236,fibfib,Zero-Shot,Short,Abstract,Natural Language,Imperative,0.9965039928314748
237,fibfib,Zero-Shot,Medium,Semi-Concrete,Mixed,Declarative,0.9087411523357766
238,fibfib,Few-Shot,Medium,Concrete,Programming-Heavy,Imperative,0.904505931197656
239,fibfib,Chain-of-Thought,Long,Concrete,Programming-Heavy,Imperative,0.917666771142889
240,fibfib,Chain-of-Thought,Long,Concrete,Programming-Heavy,Declarative,0.9837838803053695
241,vowels_count,Zero-Shot,Short,Abstract,Natural Language,Imperative,0.9999999999999998
242,vowels_count,Zero-Shot,Medium,Semi-Concrete,Mixed,Declarative,0.9637610798585138
243,vowels_count,Few-Shot,Medium,Concrete,Programming-Heavy,Imperative,1.0000000000000002
244,vowels_count,Chain-of-Thought,Long,Concrete,Programming-Heavy,Imperative,0.962249184189826
245,vowels_count,Chain-of-Thought,Long,Concrete,Programming-Heavy,Declarative,0.9614851053935276
246,circular_shift,Zero-Shot,Short,Abstract,Natural Language,Imperative,1.0000000000000002
247,circular_shift,Zero-Shot,Medium,Semi-Concrete,Mixed,Declarative,0.9470924381656477
248,circular_shift,Few-Shot,Medium,Concrete,Programming-Heavy,Imperative,1.0000000000000002
249,circular_shift,Chain-of-Thought,Long,Concrete,Programming-Heavy,Imperative,0.9706666377089463
250,circular_shift,Chain-of-Thought,Long,Concrete,Programming-Heavy,Declarative,0.9417481306267241
251,digitsum,Zero-Shot,Short,Abstract,Natural Language,Imperative,0.8807617040998561
252,digitsum,Zero-Shot,Medium,Semi-Concrete,Mixed,Declarative,0.9448458062478433
253,digitsum,Few-Shot,Medium,Concrete,Programming-Heavy,Imperative,0.9796644878029749
254,digitsum,Chain-of-Thought,Long,Concrete,Programming-Heavy,Imperative,0.9999999999999998
255,digitsum,Chain-of-Thought,Long,Concrete,Programming-Heavy,Declarative,0.9238517554238314
256,fruit_distribution,Zero-Shot,Short,Abstract,Natural Language,Imperative,0.9998377298905886
257,fruit_distribution,Zero-Shot,Medium,Semi-Concrete,Mixed,Declarative,0.9774303712002013
258,fruit_distribution,Few-Shot,Medium,Concrete,Programming-Heavy,Imperative,1.0000000000000002
259,fruit_distribution,Chain-of-Thought,Long,Concrete,Programming-Heavy,Imperative,0.994414124398754
260,fruit_distribution,Chain-of-Thought,Long,Concrete,Programming-Heavy,Declarative,0.9892736229499277
261,pluck,Zero-Shot,Short,Abstract,Natural Language,Imperative,0.9983259476132785
262,pluck,Zero-Shot,Medium,Semi-Concrete,Mixed,Declarative,0.9992243299935908
263,pluck,Few-Shot,Medium,Concrete,Programming-Heavy,Imperative,0.959279718806069
264,pluck,Chain-of-Thought,Long,Concrete,Programming-Heavy,Imperative,1.0000000000000004
265,pluck,Chain-of-Thought,Long,Concrete,Programming-Heavy,Declarative,0.9978620533847758
266,search,Zero-Shot,Short,Abstract,Natural Language,Imperative,0.993230198416944
267,search,Zero-Shot,Medium,Semi-Concrete,Mixed,Declarative,0.7659778437466459
268,search,Few-Shot,Medium,Concrete,Programming-Heavy,Imperative,0.9947532245141787
269,search,Chain-of-Thought,Long,Concrete,Programming-Heavy,Imperative,0.9869861834934287
270,search,Chain-of-Thought,Long,Concrete,Programming-Heavy,Declarative,0.9943009030248696
271,strange_sort_list,Zero-Shot,Short,Abstract,Natural Language,Imperative,0.9958987569009933
272,strange_sort_list,Zero-Shot,Medium,Semi-Concrete,Mixed,Declarative,0.9914436745960762
273,strange_sort_list,Few-Shot,Medium,Concrete,Programming-Heavy,Imperative,1.0000000000000004
274,strange_sort_list,Chain-of-Thought,Long,Concrete,Programming-Heavy,Imperative,0.8360274441069825
275,strange_sort_list,Chain-of-Thought,Long,Concrete,Programming-Heavy,Declarative,0.9916825347053126
276,triangle_area_2,Zero-Shot,Short,Abstract,Natural Language,Imperative,0.9999999999999998
277,triangle_area_2,Zero-Shot,Medium,Semi-Concrete,Mixed,Declarative,0.9922108247996493
278,triangle_area_2,Few-Shot,Medium,Concrete,Programming-Heavy,Imperative,0.992610237811802
279,triangle_area_2,Chain-of-Thought,Long,Concrete,Programming-Heavy,Imperative,1.0000000000000002
280,triangle_area_2,Chain-of-Thought,Long,Concrete,Programming-Heavy,Declarative,0.9231011771395213
281,will_it_fly,Zero-Shot,Short,Abstract,Natural Language,Imperative,0.9983796034498958
282,will_it_fly,Zero-Shot,Medium,Semi-Concrete,Mixed,Declarative,0.9999999999999997
283,will_it_fly,Few-Shot,Medium,Concrete,Programming-Heavy,Imperative,1.0000000000000004
284,will_it_fly,Chain-of-Thought,Long,Concrete,Programming-Heavy,Imperative,0.9952142324007163
285,will_it_fly,Chain-of-Thought,Long,Concrete,Programming-Heavy,Declarative,0.7198528343501652
286,smallest_change,Zero-Shot,Short,Abstract,Natural Language,Imperative,0.9968185532275576
287,smallest_change,Zero-Shot,Medium,Semi-Concrete,Mixed,Declarative,1.0
288,smallest_change,Few-Shot,Medium,Concrete,Programming-Heavy,Imperative,0.9999999999999998
289,smallest_change,Chain-of-Thought,Long,Concrete,Programming-Heavy,Imperative,0.9219782240085059
290,smallest_change,Chain-of-Thought,Long,Concrete,Programming-Heavy,Declarative,0.9893004038682424
291,total_match,Zero-Shot,Short,Abstract,Natural Language,Imperative,0.8882683114853664
292,total_match,Zero-Shot,Medium,Semi-Concrete,Mixed,Declarative,0.9999999999999993
293,total_match,Few-Shot,Medium,Concrete,Programming-Heavy,Imperative,1.0
294,total_match,Chain-of-Thought,Long,Concrete,Programming-Heavy,Imperative,0.9999999999999998
295,total_match,Chain-of-Thought,Long,Concrete,Programming-Heavy,Declarative,0.9896367320748356
296,is_multiply_prime,Zero-Shot,Short,Abstract,Natural Language,Imperative,0.966266218874471
