prompt_id,task_name,strategy,length,specificity,vocabulary,syntax,ctr_mean,ctr_std
32,parse_nested_parens,Zero-Shot,Medium,Semi-Concrete,Mixed,Declarative,0.8779218680563972,0.004268291398792486
33,parse_nested_parens,Few-Shot,Medium,Concrete,Programming-Heavy,Imperative,0.8412698412698413,0.0
34,parse_nested_parens,Chain-of-Thought,Long,Concrete,Programming-Heavy,Imperative,0.8727272727272727,0.0
35,parse_nested_parens,Chain-of-Thought,Long,Concrete,Programming-Heavy,Declarative,0.9204089324707458,0.01780962028458871
36,filter_by_substring,Zero-Shot,Short,Abstract,Natural Language,Imperative,0.8102189781021899,1.1102230246251565e-16
37,filter_by_substring,Zero-Shot,Medium,Semi-Concrete,Mixed,Declarative,0.8627164139839453,0.012748575509930386
38,filter_by_substring,Few-Shot,Medium,Concrete,Programming-Heavy,Imperative,0.85,0.0
39,filter_by_substring,Chain-of-Thought,Long,Concrete,Programming-Heavy,Imperative,0.911557866011257,0.012390817947874399
40,filter_by_substring,Chain-of-Thought,Long,Concrete,Programming-Heavy,Declarative,0.8741283283741513,0.003532613519573472
41,sum_product,Zero-Shot,Short,Abstract,Natural Language,Imperative,0.9032258064516128,1.1102230246251565e-16
42,sum_product,Zero-Shot,Medium,Semi-Concrete,Mixed,Declarative,0.9566965166494947,0.006256374292220467
43,sum_product,Few-Shot,Medium,Concrete,Programming-Heavy,Imperative,0.875,0.0
44,sum_product,Chain-of-Thought,Long,Concrete,Programming-Heavy,Imperative,0.8889413245241468,0.010532125159048864
45,sum_product,Chain-of-Thought,Long,Concrete,Programming-Heavy,Declarative,0.9249346211513652,0.00046121707908327046
46,rolling_max,Zero-Shot,Short,Abstract,Natural Language,Imperative,0.9619244293941615,0.0004132611469307375
47,rolling_max,Zero-Shot,Medium,Semi-Concrete,Mixed,Declarative,0.9592760180995474,1.1102230246251565e-16
48,rolling_max,Few-Shot,Medium,Concrete,Programming-Heavy,Imperative,0.909090909090909,1.1102230246251565e-16
49,rolling_max,Chain-of-Thought,Long,Concrete,Programming-Heavy,Imperative,0.9288646008952968,0.0063484681123190615
50,rolling_max,Chain-of-Thought,Long,Concrete,Programming-Heavy,Declarative,0.9317073170731709,1.1102230246251565e-16
51,make_palindrome,Zero-Shot,Short,Abstract,Natural Language,Imperative,0.8701298701298701,0.0
52,make_palindrome,Zero-Shot,Medium,Semi-Concrete,Mixed,Declarative,0.8245614035087719,0.0
53,make_palindrome,Few-Shot,Medium,Concrete,Programming-Heavy,Imperative,0.9,0.0
54,make_palindrome,Chain-of-Thought,Long,Concrete,Programming-Heavy,Imperative,0.8779002607023132,0.004295121576221228
55,make_palindrome,Chain-of-Thought,Long,Concrete,Programming-Heavy,Declarative,0.890143148523683,0.0189397721214769
56,string_xor,Zero-Shot,Short,Abstract,Natural Language,Imperative,0.8636203417537228,0.02014679159793743
57,string_xor,Zero-Shot,Medium,Semi-Concrete,Mixed,Declarative,0.8982845018798888,0.009580376261259425
58,string_xor,Few-Shot,Medium,Concrete,Programming-Heavy,Imperative,0.8269230769230769,0.0
59,string_xor,Chain-of-Thought,Long,Concrete,Programming-Heavy,Imperative,0.8826291079812206,0.0
60,string_xor,Chain-of-Thought,Long,Concrete,Programming-Heavy,Declarative,0.9020897633744855,0.0161550142098005
61,longest,Zero-Shot,Short,Abstract,Natural Language,Imperative,0.7857142857142857,0.0
62,longest,Zero-Shot,Medium,Semi-Concrete,Mixed,Declarative,0.85,0.0
63,longest,Few-Shot,Medium,Concrete,Programming-Heavy,Imperative,0.8157894736842104,1.1102230246251565e-16
64,longest,Chain-of-Thought,Long,Concrete,Programming-Heavy,Imperative,0.8445912682990023,0.0024355486461976827
65,longest,Chain-of-Thought,Long,Concrete,Programming-Heavy,Declarative,0.8970246305418719,0.0002364532019704324
66,greatest_common_divisor,Zero-Shot,Short,Abstract,Natural Language,Imperative,0.8880000000000001,1.1102230246251565e-16
67,greatest_common_divisor,Zero-Shot,Medium,Semi-Concrete,Mixed,Declarative,0.9325461830301741,0.0001134631067616798
68,greatest_common_divisor,Few-Shot,Medium,Concrete,Programming-Heavy,Imperative,0.8333333333333334,0.0
69,greatest_common_divisor,Chain-of-Thought,Long,Concrete,Programming-Heavy,Imperative,0.9453382717414337,0.0032442447236540614
70,greatest_common_divisor,Chain-of-Thought,Long,Concrete,Programming-Heavy,Declarative,0.9192825112107623,0.0
71,all_prefixes,Zero-Shot,Short,Abstract,Natural Language,Imperative,0.8286115007012622,0.005049088359046294
72,all_prefixes,Zero-Shot,Medium,Semi-Concrete,Mixed,Declarative,0.9045820797454784,0.0024414704153266076
73,all_prefixes,Few-Shot,Medium,Concrete,Programming-Heavy,Imperative,0.8604651162790697,0.0
74,all_prefixes,Chain-of-Thought,Long,Concrete,Programming-Heavy,Imperative,0.8901669758812616,0.015451326763381828
75,all_prefixes,Chain-of-Thought,Long,Concrete,Programming-Heavy,Declarative,0.9254402422566737,0.003370527632401821
76,string_sequence,Zero-Shot,Short,Abstract,Natural Language,Imperative,0.8465098039215686,0.00674509803921568
77,string_sequence,Zero-Shot,Medium,Semi-Concrete,Mixed,Declarative,0.9117647058823529,0.0
78,string_sequence,Few-Shot,Medium,Concrete,Programming-Heavy,Imperative,0.8493058706106524,0.002322838217947565
79,string_sequence,Chain-of-Thought,Long,Concrete,Programming-Heavy,Imperative,0.9041507512095748,0.0004990047858993257
80,string_sequence,Chain-of-Thought,Long,Concrete,Programming-Heavy,Declarative,0.8928712871287129,0.0035643564356435675
81,count_distinct_characters,Zero-Shot,Short,Abstract,Natural Language,Imperative,0.8333333333333334,0.0
82,count_distinct_characters,Zero-Shot,Medium,Semi-Concrete,Mixed,Declarative,0.9041967621419676,0.00017434620174348048
83,count_distinct_characters,Few-Shot,Medium,Concrete,Programming-Heavy,Imperative,0.8333333333333334,0.0
84,count_distinct_characters,Chain-of-Thought,Long,Concrete,Programming-Heavy,Imperative,0.8700564971751412,0.0
85,count_distinct_characters,Chain-of-Thought,Long,Concrete,Programming-Heavy,Declarative,0.8662790697674418,0.0
86,parse_music,Zero-Shot,Short,Abstract,Natural Language,Imperative,0.9227998014325225,0.00377278207219347
87,parse_music,Zero-Shot,Medium,Semi-Concrete,Mixed,Declarative,0.9148936170212766,0.0
88,parse_music,Few-Shot,Medium,Concrete,Programming-Heavy,Imperative,0.924249110434336,0.00645469645546208
89,parse_music,Chain-of-Thought,Long,Concrete,Programming-Heavy,Imperative,0.9045643153526971,0.0
90,parse_music,Chain-of-Thought,Long,Concrete,Programming-Heavy,Declarative,0.894566578124379,0.005030673587473143
91,how_many_times,Zero-Shot,Short,Abstract,Natural Language,Imperative,0.8670886075949367,0.0
92,how_many_times,Zero-Shot,Medium,Semi-Concrete,Mixed,Declarative,0.9473684210526315,0.0
93,how_many_times,Few-Shot,Medium,Concrete,Programming-Heavy,Imperative,0.8736418072945018,0.0007467143472828661
94,how_many_times,Chain-of-Thought,Long,Concrete,Programming-Heavy,Imperative,0.947871259175607,9.034443817053096e-05
95,how_many_times,Chain-of-Thought,Long,Concrete,Programming-Heavy,Declarative,0.9304347826086957,1.1102230246251565e-16
96,sort_numbers,Zero-Shot,Short,Abstract,Natural Language,Imperative,0.8461538461538461,0.0
97,sort_numbers,Zero-Shot,Medium,Semi-Concrete,Mixed,Declarative,0.8541352231373299,0.0009806550469258824
98,sort_numbers,Few-Shot,Medium,Concrete,Programming-Heavy,Imperative,0.849785407725322,1.1102230246251565e-16
99,sort_numbers,Chain-of-Thought,Long,Concrete,Programming-Heavy,Imperative,0.8646288209606986,1.1102230246251565e-16
100,sort_numbers,Chain-of-Thought,Long,Concrete,Programming-Heavy,Declarative,0.8639886989278469,0.003115039119095941
101,find_closest_elements,Zero-Shot,Short,Abstract,Natural Language,Imperative,0.9083359881066156,0.0006796219602846153
102,find_closest_elements,Zero-Shot,Medium,Semi-Concrete,Mixed,Declarative,0.9427312775330396,0.0
103,find_closest_elements,Few-Shot,Medium,Concrete,Programming-Heavy,Imperative,0.9207021579855468,0.0009602160486109403
104,find_closest_elements,Chain-of-Thought,Long,Concrete,Programming-Heavy,Imperative,0.9436191582529112,0.0005884776037751333
105,find_closest_elements,Chain-of-Thought,Long,Concrete,Programming-Heavy,Declarative,0.9305283928415321,0.001680064720956741
106,rescale_to_unit,Zero-Shot,Short,Abstract,Natural Language,Imperative,0.9105993793891883,0.0002800331242770418
107,rescale_to_unit,Zero-Shot,Medium,Semi-Concrete,Mixed,Declarative,0.9397526502458502,0.0006187773471559853
108,rescale_to_unit,Few-Shot,Medium,Concrete,Programming-Heavy,Imperative,0.9314803863591562,0.0013519754149009966
109,rescale_to_unit,Chain-of-Thought,Long,Concrete,Programming-Heavy,Imperative,0.9564633375474083,0.004548278204440999
110,rescale_to_unit,Chain-of-Thought,Long,Concrete,Programming-Heavy,Declarative,0.937655601659751,0.0001270482231734009
111,filter_integers,Zero-Shot,Short,Abstract,Natural Language,Imperative,0.8666666666666668,1.1102230246251565e-16
112,filter_integers,Zero-Shot,Medium,Semi-Concrete,Mixed,Declarative,0.9321266968325792,0.0
113,filter_integers,Few-Shot,Medium,Concrete,Programming-Heavy,Imperative,0.8707342254283738,0.00920642101127206
114,filter_integers,Chain-of-Thought,Long,Concrete,Programming-Heavy,Imperative,0.907125230820883,0.0022009514593956344
115,filter_integers,Chain-of-Thought,Long,Concrete,Programming-Heavy,Declarative,0.8952879581151831,1.1102230246251565e-16
116,strlen,Zero-Shot,Short,Abstract,Natural Language,Imperative,0.8191489361702129,1.1102230246251565e-16
117,strlen,Zero-Shot,Medium,Semi-Concrete,Mixed,Declarative,0.9020408163265307,0.0
118,strlen,Few-Shot,Medium,Concrete,Programming-Heavy,Imperative,0.7499250374812594,0.021589205397301383
119,strlen,Chain-of-Thought,Long,Concrete,Programming-Heavy,Imperative,0.8851351351351351,0.0
120,strlen,Chain-of-Thought,Long,Concrete,Programming-Heavy,Declarative,0.8535031847133758,0.0
121,largest_divisor,Zero-Shot,Short,Abstract,Natural Language,Imperative,0.9047619047619048,0.0
122,largest_divisor,Zero-Shot,Medium,Semi-Concrete,Mixed,Declarative,0.9400921658986177,1.1102230246251565e-16
123,largest_divisor,Few-Shot,Medium,Concrete,Programming-Heavy,Imperative,0.8938053097345133,1.1102230246251565e-16
124,largest_divisor,Chain-of-Thought,Long,Concrete,Programming-Heavy,Imperative,0.938387342414756,0.0005838057365258998
125,largest_divisor,Chain-of-Thought,Long,Concrete,Programming-Heavy,Declarative,0.9162303664921467,1.1102230246251565e-16
126,factorize,Zero-Shot,Short,Abstract,Natural Language,Imperative,0.9076923076923077,0.0
127,factorize,Zero-Shot,Medium,Semi-Concrete,Mixed,Declarative,0.9371325671309781,0.00021185318574228344
128,factorize,Few-Shot,Medium,Concrete,Programming-Heavy,Imperative,0.9111111111111111,0.0
129,factorize,Chain-of-Thought,Long,Concrete,Programming-Heavy,Imperative,0.9506726457399102,1.1102230246251565e-16
130,factorize,Chain-of-Thought,Long,Concrete,Programming-Heavy,Declarative,0.9445340942943602,0.0005382239541065304
131,remove_duplicates,Zero-Shot,Short,Abstract,Natural Language,Imperative,0.8735294117647058,0.002941176470588225
132,remove_duplicates,Zero-Shot,Medium,Semi-Concrete,Mixed,Declarative,0.9404751557293929,0.00024839096334179574
133,remove_duplicates,Few-Shot,Medium,Concrete,Programming-Heavy,Imperative,0.9148936170212766,0.0
134,remove_duplicates,Chain-of-Thought,Long,Concrete,Programming-Heavy,Imperative,0.9500452488687783,9.049773755656079e-05
135,remove_duplicates,Chain-of-Thought,Long,Concrete,Programming-Heavy,Declarative,0.9448663853727144,0.0003445133252859743
136,change_base,Zero-Shot,Short,Abstract,Natural Language,Imperative,0.8958889761717727,0.002304268133019116
137,change_base,Zero-Shot,Medium,Semi-Concrete,Mixed,Declarative,0.9230769230769231,0.0
138,change_base,Few-Shot,Medium,Concrete,Programming-Heavy,Imperative,0.9098388909704009,0.0019782690146122215
139,change_base,Chain-of-Thought,Long,Concrete,Programming-Heavy,Imperative,0.9219451633945667,0.00035049408183246585
140,change_base,Chain-of-Thought,Long,Concrete,Programming-Heavy,Declarative,0.9162995594713657,0.0
141,triangle_area,Zero-Shot,Short,Abstract,Natural Language,Imperative,0.8896428571428572,0.0026244532958391645
142,triangle_area,Zero-Shot,Medium,Semi-Concrete,Mixed,Declarative,0.9417150760719224,9.681881051175623e-05
143,triangle_area,Few-Shot,Medium,Concrete,Programming-Heavy,Imperative,0.8600696864111498,0.012822299651567937
144,triangle_area,Chain-of-Thought,Long,Concrete,Programming-Heavy,Imperative,0.9138755980861244,0.0
145,triangle_area,Chain-of-Thought,Long,Concrete,Programming-Heavy,Declarative,0.9047619047619048,0.0
146,fib4,Zero-Shot,Short,Abstract,Natural Language,Imperative,0.9567338501291989,0.0028113695090439266
147,fib4,Zero-Shot,Medium,Semi-Concrete,Mixed,Declarative,0.9505318726680956,0.0006112566484083536
148,fib4,Few-Shot,Medium,Concrete,Programming-Heavy,Imperative,0.946188340807175,1.1102230246251565e-16
149,fib4,Chain-of-Thought,Long,Concrete,Programming-Heavy,Imperative,0.9521739130434783,0.0
150,fib4,Chain-of-Thought,Long,Concrete,Programming-Heavy,Declarative,0.9442060085836911,1.1102230246251565e-16
151,median,Zero-Shot,Short,Abstract,Natural Language,Imperative,0.9531914893617021,1.1102230246251565e-16
152,median,Zero-Shot,Medium,Semi-Concrete,Mixed,Declarative,0.9408183513910385,0.0012461801008056825
153,median,Few-Shot,Medium,Concrete,Programming-Heavy,Imperative,0.9487179487179487,0.0
154,median,Chain-of-Thought,Long,Concrete,Programming-Heavy,Imperative,0.9424778761061947,0.0
155,median,Chain-of-Thought,Long,Concrete,Programming-Heavy,Declarative,0.9367588932806324,0.0
156,is_palindrome,Zero-Shot,Short,Abstract,Natural Language,Imperative,0.8665410244329272,0.0007584070011982583
157,is_palindrome,Zero-Shot,Medium,Semi-Concrete,Mixed,Declarative,0.892163995373594,0.0076556310264086075
158,is_palindrome,Few-Shot,Medium,Concrete,Programming-Heavy,Imperative,0.875,0.0
159,is_palindrome,Chain-of-Thought,Long,Concrete,Programming-Heavy,Imperative,0.8986510750347287,0.020240522532666706
160,is_palindrome,Chain-of-Thought,Long,Concrete,Programming-Heavy,Declarative,0.8871794871794872,1.1102230246251565e-16
161,modp,Zero-Shot,Short,Abstract,Natural Language,Imperative,0.8272727272727274,1.1102230246251565e-16
162,modp,Zero-Shot,Medium,Semi-Concrete,Mixed,Declarative,0.9170272717174808,0.0031924993710958673
163,modp,Few-Shot,Medium,Concrete,Programming-Heavy,Imperative,0.8133333333333332,1.1102230246251565e-16
164,modp,Chain-of-Thought,Long,Concrete,Programming-Heavy,Imperative,0.9350793650793652,0.003693675008958748
165,modp,Chain-of-Thought,Long,Concrete,Programming-Heavy,Declarative,0.8969957081545065,0.0
166,encode_shift,Zero-Shot,Short,Abstract,Natural Language,Imperative,0.86,0.0
167,encode_shift,Zero-Shot,Medium,Semi-Concrete,Mixed,Declarative,0.8908676498755028,0.020765067231485083
168,encode_shift,Few-Shot,Medium,Concrete,Programming-Heavy,Imperative,0.8702290076335878,0.0
169,encode_shift,Chain-of-Thought,Long,Concrete,Programming-Heavy,Imperative,0.9412824589295179,0.00012980867741302048
170,encode_shift,Chain-of-Thought,Long,Concrete,Programming-Heavy,Declarative,0.9412819836454762,0.00021102611448169383
171,decode_shift,Zero-Shot,Short,Abstract,Natural Language,Imperative,0.8692810457516341,1.1102230246251565e-16
172,decode_shift,Zero-Shot,Medium,Semi-Concrete,Mixed,Declarative,0.9315068493150684,0.0
173,decode_shift,Few-Shot,Medium,Concrete,Programming-Heavy,Imperative,0.8730704898446835,0.004205495818399064
174,decode_shift,Chain-of-Thought,Long,Concrete,Programming-Heavy,Imperative,0.9299952584163111,0.022892366050260814
175,decode_shift,Chain-of-Thought,Long,Concrete,Programming-Heavy,Declarative,0.9291035013466719,0.0036944978036591346
176,remove_vowels,Zero-Shot,Short,Abstract,Natural Language,Imperative,0.816793893129771,0.0
177,remove_vowels,Zero-Shot,Medium,Semi-Concrete,Mixed,Declarative,0.8761904761904763,0.003463203463203435
178,remove_vowels,Few-Shot,Medium,Concrete,Programming-Heavy,Imperative,0.8148148148148147,1.1102230246251565e-16
179,remove_vowels,Chain-of-Thought,Long,Concrete,Programming-Heavy,Imperative,0.8834267447170673,0.006484825839664543
180,remove_vowels,Chain-of-Thought,Long,Concrete,Programming-Heavy,Declarative,0.8767772511848341,0.0
181,below_threshold,Zero-Shot,Short,Abstract,Natural Language,Imperative,0.9172413793103449,1.1102230246251565e-16
182,below_threshold,Zero-Shot,Medium,Semi-Concrete,Mixed,Declarative,0.9326763485477179,0.0039384949183754285
183,below_threshold,Few-Shot,Medium,Concrete,Programming-Heavy,Imperative,0.8770408163265305,0.001020408163265296
184,below_threshold,Chain-of-Thought,Long,Concrete,Programming-Heavy,Imperative,0.9337253626203937,0.009123671316672972
185,below_threshold,Chain-of-Thought,Long,Concrete,Programming-Heavy,Declarative,0.9108485247383887,0.01293158335143508
186,add,Zero-Shot,Short,Abstract,Natural Language,Imperative,0.8793103448275861,1.1102230246251565e-16
187,add,Zero-Shot,Medium,Semi-Concrete,Mixed,Declarative,0.9448210922787194,0.00018832391713750063
188,add,Few-Shot,Medium,Concrete,Programming-Heavy,Imperative,0.8333333333333334,0.0
189,add,Chain-of-Thought,Long,Concrete,Programming-Heavy,Imperative,0.9148936170212766,0.0
190,add,Chain-of-Thought,Long,Concrete,Programming-Heavy,Declarative,0.9120098696561711,0.0004992791408344364
191,same_chars,Zero-Shot,Short,Abstract,Natural Language,Imperative,0.8153846153846154,0.0
192,same_chars,Zero-Shot,Medium,Semi-Concrete,Mixed,Declarative,0.9227467811158798,0.0
193,same_chars,Few-Shot,Medium,Concrete,Programming-Heavy,Imperative,0.8636363636363636,0.0
194,same_chars,Chain-of-Thought,Long,Concrete,Programming-Heavy,Imperative,0.8728731380874883,0.0010222090829264186
195,same_chars,Chain-of-Thought,Long,Concrete,Programming-Heavy,Declarative,0.8805622501731432,0.010007678997100505
196,fib,Zero-Shot,Short,Abstract,Natural Language,Imperative,0.8998374450181679,0.0004781028877414606
197,fib,Zero-Shot,Medium,Semi-Concrete,Mixed,Declarative,0.9344978165938864,0.0
198,fib,Few-Shot,Medium,Concrete,Programming-Heavy,Imperative,0.8985507246376813,1.1102230246251565e-16
199,fib,Chain-of-Thought,Long,Concrete,Programming-Heavy,Imperative,0.9424655188603687,0.005445942142878247
200,fib,Chain-of-Thought,Long,Concrete,Programming-Heavy,Declarative,0.9162790697674419,0.0
201,correct_bracketing_1,Zero-Shot,Short,Abstract,Natural Language,Imperative,0.8356807511737088,1.1102230246251565e-16
202,correct_bracketing_1,Zero-Shot,Medium,Semi-Concrete,Mixed,Declarative,0.9043824701195218,1.1102230246251565e-16
203,correct_bracketing_1,Few-Shot,Medium,Concrete,Programming-Heavy,Imperative,0.823943661971831,0.0
204,correct_bracketing_1,Chain-of-Thought,Long,Concrete,Programming-Heavy,Imperative,0.9080733165615709,0.0012807527689744356
205,correct_bracketing_1,Chain-of-Thought,Long,Concrete,Programming-Heavy,Declarative,0.9043824701195218,1.1102230246251565e-16
206,monotonic,Zero-Shot,Short,Abstract,Natural Language,Imperative,0.8876190476190476,0.0015552315827194727
207,monotonic,Zero-Shot,Medium,Semi-Concrete,Mixed,Declarative,0.8898563192657264,0.008164940308896744
208,monotonic,Few-Shot,Medium,Concrete,Programming-Heavy,Imperative,0.8974358974358975,0.0
209,monotonic,Chain-of-Thought,Long,Concrete,Programming-Heavy,Imperative,0.9442228459471551,0.003531250464716789
210,monotonic,Chain-of-Thought,Long,Concrete,Programming-Heavy,Declarative,0.9219803652931796,0.009292856424385326
211,common,Zero-Shot,Short,Abstract,Natural Language,Imperative,0.9092063492063494,0.015163507931514913
212,common,Zero-Shot,Medium,Semi-Concrete,Mixed,Declarative,0.9360730593607306,0.0
213,common,Few-Shot,Medium,Concrete,Programming-Heavy,Imperative,0.8488372093023255,0.0
214,common,Chain-of-Thought,Long,Concrete,Programming-Heavy,Imperative,0.9385077296375559,0.0013646171807421613
215,common,Chain-of-Thought,Long,Concrete,Programming-Heavy,Declarative,0.918503864556496,0.0001915776850723255
216,largest_prime_factor,Zero-Shot,Short,Abstract,Natural Language,Imperative,0.9050445632798574,0.010522763422651444
217,largest_prime_factor,Zero-Shot,Medium,Semi-Concrete,Mixed,Declarative,0.9411764705882353,0.0
218,largest_prime_factor,Few-Shot,Medium,Concrete,Programming-Heavy,Imperative,0.940192836321913,0.0016791167868517648
219,largest_prime_factor,Chain-of-Thought,Long,Concrete,Programming-Heavy,Imperative,0.9495348837209303,0.0005696487773913943
220,largest_prime_factor,Chain-of-Thought,Long,Concrete,Programming-Heavy,Declarative,0.9374623990997424,0.0011343911466502328
221,sum_to_n,Zero-Shot,Short,Abstract,Natural Language,Imperative,0.8723404255319149,0.0
222,sum_to_n,Zero-Shot,Medium,Semi-Concrete,Mixed,Declarative,0.9332722362072582,0.0003441140195106359
223,sum_to_n,Few-Shot,Medium,Concrete,Programming-Heavy,Imperative,0.8356164383561644,0.0
224,sum_to_n,Chain-of-Thought,Long,Concrete,Programming-Heavy,Imperative,0.9381332210880775,0.0018874201235164847
225,sum_to_n,Chain-of-Thought,Long,Concrete,Programming-Heavy,Declarative,0.90098961811669,0.0002185659644223126
226,correct_bracketing_2,Zero-Shot,Short,Abstract,Natural Language,Imperative,0.8364485981308413,1.1102230246251565e-16
227,correct_bracketing_2,Zero-Shot,Medium,Semi-Concrete,Mixed,Declarative,0.9324894514767934,1.1102230246251565e-16
228,correct_bracketing_2,Few-Shot,Medium,Concrete,Programming-Heavy,Imperative,0.8266117444199634,0.001759859476087131
229,correct_bracketing_2,Chain-of-Thought,Long,Concrete,Programming-Heavy,Imperative,0.9396547239450896,0.00016451009420079496
230,correct_bracketing_2,Chain-of-Thought,Long,Concrete,Programming-Heavy,Declarative,0.9043824701195218,1.1102230246251565e-16
231,derivative,Zero-Shot,Short,Abstract,Natural Language,Imperative,0.9288612565445027,0.004319371727748678
232,derivative,Zero-Shot,Medium,Semi-Concrete,Mixed,Declarative,0.9405265055896141,0.00012366699025952933
233,derivative,Few-Shot,Medium,Concrete,Programming-Heavy,Imperative,0.9462750559377582,0.007394028394211795
234,derivative,Chain-of-Thought,Long,Concrete,Programming-Heavy,Imperative,0.9471600129827978,0.0031158714703018123
235,derivative,Chain-of-Thought,Long,Concrete,Programming-Heavy,Declarative,0.938903541667775,0.0022197533736416524
236,fibfib,Zero-Shot,Short,Abstract,Natural Language,Imperative,0.9243697478991597,0.0
237,fibfib,Zero-Shot,Medium,Semi-Concrete,Mixed,Declarative,0.9332069309973875,0.00793438814223432
238,fibfib,Few-Shot,Medium,Concrete,Programming-Heavy,Imperative,0.924290667810921,0.006459039414198049
239,fibfib,Chain-of-Thought,Long,Concrete,Programming-Heavy,Imperative,0.9525713774917314,0.0016137615066103964
240,fibfib,Chain-of-Thought,Long,Concrete,Programming-Heavy,Declarative,0.9500688269401355,0.001053166278088873
241,vowels_count,Zero-Shot,Short,Abstract,Natural Language,Imperative,0.8181818181818181,1.1102230246251565e-16
242,vowels_count,Zero-Shot,Medium,Semi-Concrete,Mixed,Declarative,0.912525993883792,0.006081909949356641
243,vowels_count,Few-Shot,Medium,Concrete,Programming-Heavy,Imperative,0.8072289156626506,0.0
244,vowels_count,Chain-of-Thought,Long,Concrete,Programming-Heavy,Imperative,0.9053101086542933,0.009227139732041627
245,vowels_count,Chain-of-Thought,Long,Concrete,Programming-Heavy,Declarative,0.8736030114491413,0.006452753238658365
246,circular_shift,Zero-Shot,Short,Abstract,Natural Language,Imperative,0.930635838150289,0.0
247,circular_shift,Zero-Shot,Medium,Semi-Concrete,Mixed,Declarative,0.9371844399142668,0.00030505304574318404
248,circular_shift,Few-Shot,Medium,Concrete,Programming-Heavy,Imperative,0.9263803680981596,1.1102230246251565e-16
249,circular_shift,Chain-of-Thought,Long,Concrete,Programming-Heavy,Imperative,0.9530284128617883,0.00038457180374159027
250,circular_shift,Chain-of-Thought,Long,Concrete,Programming-Heavy,Declarative,0.9452371581211734,0.00040071146604272036
