prompt_id,task_name,task_difficulty,strategy,length,specificity,vocabulary,syntax,prompt_text
43,sum_product,easy,Few-Shot,Medium,Concrete,Programming-Heavy,Imperative,"Implement a Python function sum_product that Return sum and product of a list of integers as a tuple.

Example of similar function pattern:
def sum_list(nums: list) -> int:
    return sum(nums)

Now implement sum_product following the same pattern. Use type hints. Return the correct data type."
44,sum_product,easy,Chain-of-Thought,Long,Concrete,Programming-Heavy,Imperative,"Implement a Python function called sum_product that Return sum and product of a list of integers as a tuple.

Think step by step:
1. First, understand the input parameters and their types.
2. Identify the core algorithm or logic required.
3. Handle any edge cases (empty inputs, negative numbers, boundary values).
4. Write the function body using clear variable names.
5. Verify the return type matches the expected output.

Now write the complete Python function with type hints and a docstring."
45,sum_product,easy,Chain-of-Thought,Long,Concrete,Programming-Heavy,Declarative,"A Python function named sum_product is required. Its purpose is to Return sum and product of a list of integers as a tuple.

The implementation should proceed as follows:
1. Define the function signature with appropriate type annotations.
2. Parse or validate the input parameters.
3. Apply the core computational logic.
4. Construct and return the output in the specified format.
5. Include a docstring that documents parameters and return value.

The complete, executable Python function should be returned."
46,rolling_max,easy,Zero-Shot,Short,Abstract,Natural Language,Imperative,Write a Python function called rolling_max that Return a list of rolling maximum values.
47,rolling_max,easy,Zero-Shot,Medium,Semi-Concrete,Mixed,Declarative,The function rolling_max should Return a list of rolling maximum values. The function should accept appropriate input parameters and return the correct result. Handle edge cases such as empty inputs and boundary values. The function should be implemented in Python and follow standard coding conventions.
48,rolling_max,easy,Few-Shot,Medium,Concrete,Programming-Heavy,Imperative,"Implement a Python function rolling_max that Return a list of rolling maximum values.

Example of similar function pattern:
def sum_list(nums: list) -> int:
    return sum(nums)

Now implement rolling_max following the same pattern. Use type hints. Return the correct data type."
49,rolling_max,easy,Chain-of-Thought,Long,Concrete,Programming-Heavy,Imperative,"Implement a Python function called rolling_max that Return a list of rolling maximum values.

Think step by step:
1. First, understand the input parameters and their types.
2. Identify the core algorithm or logic required.
3. Handle any edge cases (empty inputs, negative numbers, boundary values).
4. Write the function body using clear variable names.
5. Verify the return type matches the expected output.

Now write the complete Python function with type hints and a docstring."
50,rolling_max,easy,Chain-of-Thought,Long,Concrete,Programming-Heavy,Declarative,"A Python function named rolling_max is required. Its purpose is to Return a list of rolling maximum values.

The implementation should proceed as follows:
1. Define the function signature with appropriate type annotations.
2. Parse or validate the input parameters.
3. Apply the core computational logic.
4. Construct and return the output in the specified format.
5. Include a docstring that documents parameters and return value.

The complete, executable Python function should be returned."
51,make_palindrome,easy,Zero-Shot,Short,Abstract,Natural Language,Imperative,Write a Python function called make_palindrome that Find the shortest palindrome that begins with a given string.
52,make_palindrome,easy,Zero-Shot,Medium,Semi-Concrete,Mixed,Declarative,The function make_palindrome should Find the shortest palindrome that begins with a given string. The function should accept appropriate input parameters and return the correct result. Handle edge cases such as empty inputs and boundary values. The function should be implemented in Python and follow standard coding conventions.
53,make_palindrome,easy,Few-Shot,Medium,Concrete,Programming-Heavy,Imperative,"Implement a Python function make_palindrome that Find the shortest palindrome that begins with a given string.

Example of similar function pattern:
def sum_list(nums: list) -> int:
    return sum(nums)

Now implement make_palindrome following the same pattern. Use type hints. Return the correct data type."
54,make_palindrome,easy,Chain-of-Thought,Long,Concrete,Programming-Heavy,Imperative,"Implement a Python function called make_palindrome that Find the shortest palindrome that begins with a given string.

Think step by step:
1. First, understand the input parameters and their types.
2. Identify the core algorithm or logic required.
3. Handle any edge cases (empty inputs, negative numbers, boundary values).
4. Write the function body using clear variable names.
5. Verify the return type matches the expected output.

Now write the complete Python function with type hints and a docstring."
55,make_palindrome,easy,Chain-of-Thought,Long,Concrete,Programming-Heavy,Declarative,"A Python function named make_palindrome is required. Its purpose is to Find the shortest palindrome that begins with a given string.

The implementation should proceed as follows:
1. Define the function signature with appropriate type annotations.
2. Parse or validate the input parameters.
3. Apply the core computational logic.
4. Construct and return the output in the specified format.
5. Include a docstring that documents parameters and return value.

The complete, executable Python function should be returned."
56,string_xor,easy,Zero-Shot,Short,Abstract,Natural Language,Imperative,Write a Python function called string_xor that Perform XOR on two binary strings and return as string.
57,string_xor,easy,Zero-Shot,Medium,Semi-Concrete,Mixed,Declarative,The function string_xor should Perform XOR on two binary strings and return as string. The function should accept appropriate input parameters and return the correct result. Handle edge cases such as empty inputs and boundary values. The function should be implemented in Python and follow standard coding conventions.
58,string_xor,easy,Few-Shot,Medium,Concrete,Programming-Heavy,Imperative,"Implement a Python function string_xor that Perform XOR on two binary strings and return as string.

Example of similar function pattern:
def sum_list(nums: list) -> int:
    return sum(nums)

Now implement string_xor following the same pattern. Use type hints. Return the correct data type."
59,string_xor,easy,Chain-of-Thought,Long,Concrete,Programming-Heavy,Imperative,"Implement a Python function called string_xor that Perform XOR on two binary strings and return as string.

Think step by step:
1. First, understand the input parameters and their types.
2. Identify the core algorithm or logic required.
3. Handle any edge cases (empty inputs, negative numbers, boundary values).
4. Write the function body using clear variable names.
5. Verify the return type matches the expected output.

Now write the complete Python function with type hints and a docstring."
60,string_xor,easy,Chain-of-Thought,Long,Concrete,Programming-Heavy,Declarative,"A Python function named string_xor is required. Its purpose is to Perform XOR on two binary strings and return as string.

The implementation should proceed as follows:
1. Define the function signature with appropriate type annotations.
2. Parse or validate the input parameters.
3. Apply the core computational logic.
4. Construct and return the output in the specified format.
5. Include a docstring that documents parameters and return value.

The complete, executable Python function should be returned."
61,longest,easy,Zero-Shot,Short,Abstract,Natural Language,Imperative,"Write a Python function called longest that Return the longest string from a list, or None if empty."
62,longest,easy,Zero-Shot,Medium,Semi-Concrete,Mixed,Declarative,"The function longest should Return the longest string from a list, or None if empty. The function should accept appropriate input parameters and return the correct result. Handle edge cases such as empty inputs and boundary values. The function should be implemented in Python and follow standard coding conventions."
63,longest,easy,Few-Shot,Medium,Concrete,Programming-Heavy,Imperative,"Implement a Python function longest that Return the longest string from a list, or None if empty.

Example of similar function pattern:
def sum_list(nums: list) -> int:
    return sum(nums)

Now implement longest following the same pattern. Use type hints. Return the correct data type."
64,longest,easy,Chain-of-Thought,Long,Concrete,Programming-Heavy,Imperative,"Implement a Python function called longest that Return the longest string from a list, or None if empty.

Think step by step:
1. First, understand the input parameters and their types.
2. Identify the core algorithm or logic required.
3. Handle any edge cases (empty inputs, negative numbers, boundary values).
4. Write the function body using clear variable names.
5. Verify the return type matches the expected output.

Now write the complete Python function with type hints and a docstring."
65,longest,easy,Chain-of-Thought,Long,Concrete,Programming-Heavy,Declarative,"A Python function named longest is required. Its purpose is to Return the longest string from a list, or None if empty.

The implementation should proceed as follows:
1. Define the function signature with appropriate type annotations.
2. Parse or validate the input parameters.
3. Apply the core computational logic.
4. Construct and return the output in the specified format.
5. Include a docstring that documents parameters and return value.

The complete, executable Python function should be returned."
66,greatest_common_divisor,easy,Zero-Shot,Short,Abstract,Natural Language,Imperative,Write a Python function called greatest_common_divisor that Compute the greatest common divisor of two integers.
67,greatest_common_divisor,easy,Zero-Shot,Medium,Semi-Concrete,Mixed,Declarative,The function greatest_common_divisor should Compute the greatest common divisor of two integers. The function should accept appropriate input parameters and return the correct result. Handle edge cases such as empty inputs and boundary values. The function should be implemented in Python and follow standard coding conventions.
68,greatest_common_divisor,easy,Few-Shot,Medium,Concrete,Programming-Heavy,Imperative,"Implement a Python function greatest_common_divisor that Compute the greatest common divisor of two integers.

Example of similar function pattern:
def sum_list(nums: list) -> int:
    return sum(nums)

Now implement greatest_common_divisor following the same pattern. Use type hints. Return the correct data type."
69,greatest_common_divisor,easy,Chain-of-Thought,Long,Concrete,Programming-Heavy,Imperative,"Implement a Python function called greatest_common_divisor that Compute the greatest common divisor of two integers.

Think step by step:
1. First, understand the input parameters and their types.
2. Identify the core algorithm or logic required.
3. Handle any edge cases (empty inputs, negative numbers, boundary values).
4. Write the function body using clear variable names.
5. Verify the return type matches the expected output.

Now write the complete Python function with type hints and a docstring."
70,greatest_common_divisor,easy,Chain-of-Thought,Long,Concrete,Programming-Heavy,Declarative,"A Python function named greatest_common_divisor is required. Its purpose is to Compute the greatest common divisor of two integers.

The implementation should proceed as follows:
1. Define the function signature with appropriate type annotations.
2. Parse or validate the input parameters.
3. Apply the core computational logic.
4. Construct and return the output in the specified format.
5. Include a docstring that documents parameters and return value.

The complete, executable Python function should be returned."
71,all_prefixes,easy,Zero-Shot,Short,Abstract,Natural Language,Imperative,Write a Python function called all_prefixes that Return all prefixes of a string from shortest to longest.
72,all_prefixes,easy,Zero-Shot,Medium,Semi-Concrete,Mixed,Declarative,The function all_prefixes should Return all prefixes of a string from shortest to longest. The function should accept appropriate input parameters and return the correct result. Handle edge cases such as empty inputs and boundary values. The function should be implemented in Python and follow standard coding conventions.
73,all_prefixes,easy,Few-Shot,Medium,Concrete,Programming-Heavy,Imperative,"Implement a Python function all_prefixes that Return all prefixes of a string from shortest to longest.

Example of similar function pattern:
def sum_list(nums: list) -> int:
    return sum(nums)

Now implement all_prefixes following the same pattern. Use type hints. Return the correct data type."
74,all_prefixes,easy,Chain-of-Thought,Long,Concrete,Programming-Heavy,Imperative,"Implement a Python function called all_prefixes that Return all prefixes of a string from shortest to longest.

Think step by step:
1. First, understand the input parameters and their types.
2. Identify the core algorithm or logic required.
3. Handle any edge cases (empty inputs, negative numbers, boundary values).
4. Write the function body using clear variable names.
5. Verify the return type matches the expected output.

Now write the complete Python function with type hints and a docstring."
75,all_prefixes,easy,Chain-of-Thought,Long,Concrete,Programming-Heavy,Declarative,"A Python function named all_prefixes is required. Its purpose is to Return all prefixes of a string from shortest to longest.

The implementation should proceed as follows:
1. Define the function signature with appropriate type annotations.
2. Parse or validate the input parameters.
3. Apply the core computational logic.
4. Construct and return the output in the specified format.
5. Include a docstring that documents parameters and return value.

The complete, executable Python function should be returned."
76,string_sequence,easy,Zero-Shot,Short,Abstract,Natural Language,Imperative,Write a Python function called string_sequence that Return a space-delimited string of integers from 0 to n.
77,string_sequence,easy,Zero-Shot,Medium,Semi-Concrete,Mixed,Declarative,The function string_sequence should Return a space-delimited string of integers from 0 to n. The function should accept appropriate input parameters and return the correct result. Handle edge cases such as empty inputs and boundary values. The function should be implemented in Python and follow standard coding conventions.
78,string_sequence,easy,Few-Shot,Medium,Concrete,Programming-Heavy,Imperative,"Implement a Python function string_sequence that Return a space-delimited string of integers from 0 to n.

Example of similar function pattern:
def sum_list(nums: list) -> int:
    return sum(nums)

Now implement string_sequence following the same pattern. Use type hints. Return the correct data type."
79,string_sequence,easy,Chain-of-Thought,Long,Concrete,Programming-Heavy,Imperative,"Implement a Python function called string_sequence that Return a space-delimited string of integers from 0 to n.

Think step by step:
1. First, understand the input parameters and their types.
2. Identify the core algorithm or logic required.
3. Handle any edge cases (empty inputs, negative numbers, boundary values).
4. Write the function body using clear variable names.
5. Verify the return type matches the expected output.

Now write the complete Python function with type hints and a docstring."
80,string_sequence,easy,Chain-of-Thought,Long,Concrete,Programming-Heavy,Declarative,"A Python function named string_sequence is required. Its purpose is to Return a space-delimited string of integers from 0 to n.

The implementation should proceed as follows:
1. Define the function signature with appropriate type annotations.
2. Parse or validate the input parameters.
3. Apply the core computational logic.
4. Construct and return the output in the specified format.
5. Include a docstring that documents parameters and return value.

The complete, executable Python function should be returned."
81,count_distinct_characters,easy,Zero-Shot,Short,Abstract,Natural Language,Imperative,Write a Python function called count_distinct_characters that Count the number of distinct characters in a string.
82,count_distinct_characters,easy,Zero-Shot,Medium,Semi-Concrete,Mixed,Declarative,The function count_distinct_characters should Count the number of distinct characters in a string. The function should accept appropriate input parameters and return the correct result. Handle edge cases such as empty inputs and boundary values. The function should be implemented in Python and follow standard coding conventions.
83,count_distinct_characters,easy,Few-Shot,Medium,Concrete,Programming-Heavy,Imperative,"Implement a Python function count_distinct_characters that Count the number of distinct characters in a string.

Example of similar function pattern:
def sum_list(nums: list) -> int:
    return sum(nums)

Now implement count_distinct_characters following the same pattern. Use type hints. Return the correct data type."
84,count_distinct_characters,easy,Chain-of-Thought,Long,Concrete,Programming-Heavy,Imperative,"Implement a Python function called count_distinct_characters that Count the number of distinct characters in a string.

Think step by step:
1. First, understand the input parameters and their types.
2. Identify the core algorithm or logic required.
3. Handle any edge cases (empty inputs, negative numbers, boundary values).
4. Write the function body using clear variable names.
5. Verify the return type matches the expected output.

Now write the complete Python function with type hints and a docstring."
85,count_distinct_characters,easy,Chain-of-Thought,Long,Concrete,Programming-Heavy,Declarative,"A Python function named count_distinct_characters is required. Its purpose is to Count the number of distinct characters in a string.

The implementation should proceed as follows:
1. Define the function signature with appropriate type annotations.
2. Parse or validate the input parameters.
3. Apply the core computational logic.
4. Construct and return the output in the specified format.
5. Include a docstring that documents parameters and return value.

The complete, executable Python function should be returned."
86,parse_music,easy,Zero-Shot,Short,Abstract,Natural Language,Imperative,Write a Python function called parse_music that Parse a musical note string and return beat durations as list.
87,parse_music,easy,Zero-Shot,Medium,Semi-Concrete,Mixed,Declarative,The function parse_music should Parse a musical note string and return beat durations as list. The function should accept appropriate input parameters and return the correct result. Handle edge cases such as empty inputs and boundary values. The function should be implemented in Python and follow standard coding conventions.
88,parse_music,easy,Few-Shot,Medium,Concrete,Programming-Heavy,Imperative,"Implement a Python function parse_music that Parse a musical note string and return beat durations as list.

Example of similar function pattern:
def sum_list(nums: list) -> int:
    return sum(nums)

Now implement parse_music following the same pattern. Use type hints. Return the correct data type."
89,parse_music,easy,Chain-of-Thought,Long,Concrete,Programming-Heavy,Imperative,"Implement a Python function called parse_music that Parse a musical note string and return beat durations as list.

Think step by step:
1. First, understand the input parameters and their types.
2. Identify the core algorithm or logic required.
3. Handle any edge cases (empty inputs, negative numbers, boundary values).
4. Write the function body using clear variable names.
5. Verify the return type matches the expected output.

Now write the complete Python function with type hints and a docstring."
90,parse_music,easy,Chain-of-Thought,Long,Concrete,Programming-Heavy,Declarative,"A Python function named parse_music is required. Its purpose is to Parse a musical note string and return beat durations as list.

The implementation should proceed as follows:
1. Define the function signature with appropriate type annotations.
2. Parse or validate the input parameters.
3. Apply the core computational logic.
4. Construct and return the output in the specified format.
5. Include a docstring that documents parameters and return value.

The complete, executable Python function should be returned."
91,how_many_times,easy,Zero-Shot,Short,Abstract,Natural Language,Imperative,Write a Python function called how_many_times that Count how many times a substring appears including overlaps.
92,how_many_times,easy,Zero-Shot,Medium,Semi-Concrete,Mixed,Declarative,The function how_many_times should Count how many times a substring appears including overlaps. The function should accept appropriate input parameters and return the correct result. Handle edge cases such as empty inputs and boundary values. The function should be implemented in Python and follow standard coding conventions.
93,how_many_times,easy,Few-Shot,Medium,Concrete,Programming-Heavy,Imperative,"Implement a Python function how_many_times that Count how many times a substring appears including overlaps.

Example of similar function pattern:
def sum_list(nums: list) -> int:
    return sum(nums)

Now implement how_many_times following the same pattern. Use type hints. Return the correct data type."
94,how_many_times,easy,Chain-of-Thought,Long,Concrete,Programming-Heavy,Imperative,"Implement a Python function called how_many_times that Count how many times a substring appears including overlaps.

Think step by step:
1. First, understand the input parameters and their types.
2. Identify the core algorithm or logic required.
3. Handle any edge cases (empty inputs, negative numbers, boundary values).
4. Write the function body using clear variable names.
5. Verify the return type matches the expected output.

Now write the complete Python function with type hints and a docstring."
